,imgsz,stride,bs,model,tracker,n_frames,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDsw,FM,MOTA,MOTP,pre-process ms,infer ms,nms ms,tracker ms,total ms
14,640,4,1,yolov8s-pt,bytetrack,225.0,1.612094,1.25614,1.115761,0.368655,0.959444,2246.0,1.0,2.0,1.0,35.0,1418.0,0.0,312.0,0.353072,0.211676,0.5,9.4,1.1,1.2,2745.0
15,640,5,1,yolov8s-pt,strongsort,180.0,1.619541,1.359006,1.218942,0.459053,0.90849,1795.0,1.0,2.0,1.0,83.0,971.0,2.0,267.0,0.411699,0.193138,1.1,20.5,1.5,29.7,9504.0
16,480,1,1,yolov8m-pt,bytetrack,900.0,1.586425,1.17546,1.058765,0.30985,0.925532,8985.0,1.0,1.0,2.0,224.0,6201.0,0.0,1260.0,0.284919,0.193069,0.5,11.6,1.1,1.1,12869.999999999998
17,640,4,1,yolov8m-pt,bytetrack,225.0,1.63631,1.354187,1.223954,0.468833,0.945242,2246.0,1.0,2.0,1.0,61.0,1193.0,0.0,329.0,0.441674,0.201689,0.5,12.9,1.1,1.5,3600.0
18,320,1,1,yolov8s-pt,ocsort,900.0,1.525927,1.093349,0.920312,0.197329,0.956827,8985.0,1.0,1.0,2.0,80.0,7212.0,4.0,987.0,0.18798,0.174149,0.4,9.5,1.1,1.2,10980.0
19,480,2,1,yolov8s-pt,strongsort,450.0,1.56332,1.174513,1.060775,0.314782,0.881546,4492.0,1.0,1.0,2.0,190.0,3078.0,2.0,632.0,0.272039,0.190833,0.7,10.2,1.3,25.1,16785.0
20,480,3,1,yolov8m-pt,ocsort,300.0,1.60354,1.315426,1.210421,0.457248,0.897117,2994.0,1.0,2.0,1.0,157.0,1625.0,4.0,449.0,0.403474,0.210487,0.5,12.4,1.0,2.4,4890.0
21,640,2,1,yolov8s-pt,ocsort,450.0,1.622091,1.376012,1.248887,0.490873,0.909278,4492.0,1.0,2.0,1.0,220.0,2287.0,5.0,647.0,0.440784,0.191877,0.5,9.0,1.1,2.2,5760.0
22,640,3,1,yolov8s-pt,strongsort,300.0,1.619627,1.378418,1.245825,0.48497,0.900744,2994.0,1.0,2.0,1.0,160.0,1542.0,4.0,438.0,0.430194,0.193307,1.1,20.9,1.5,29.2,15810.0
23,320,2,1,yolov8l-pt,bytetrack,450.0,1.552879,1.132851,0.975735,0.247329,0.963573,4492.0,1.0,1.0,2.0,42.0,3381.0,0.0,525.0,0.237979,0.212927,0.4,14.4,1.1,1.0,7604.999999999999
24,480,4,1,yolov8s-pt,bytetrack,225.0,1.576027,1.148777,1.024488,0.28228,0.940653,2246.0,1.0,1.0,2.0,40.0,1612.0,0.0,307.0,0.26447,0.243208,0.5,9.6,1.1,1.1,2767.4999999999995
25,480,3,1,yolov8m-pt,strongsort,300.0,1.600354,1.314889,1.206413,0.452572,0.891447,2994.0,1.0,2.0,1.0,165.0,1639.0,4.0,445.0,0.396126,0.213768,0.9,25.3,1.4,28.6,16860.0
26,320,5,1,yolov8m-pt,strongsort,180.0,1.5487,1.125561,0.97883,0.248468,0.940928,1795.0,1.0,1.0,2.0,28.0,1349.0,4.0,231.0,0.230641,0.19341,0.6,15.9,1.2,24.2,7542.0
27,480,3,1,yolov8n-pt,bytetrack,300.0,1.517762,1.085634,0.906146,0.183701,0.946644,2994.0,0.0,2.0,2.0,31.0,2444.0,0.0,313.0,0.173347,0.232431,0.5,10.1,1.2,1.0,3839.9999999999995
28,640,5,1,yolov8n-pt,bytetrack,180.0,1.593886,1.16168,1.016713,0.268524,0.973737,1795.0,0.0,2.0,2.0,13.0,1313.0,0.0,245.0,0.261281,0.236736,0.5,9.2,1.0,1.1,2124.0
29,320,4,1,yolov8s-pt,bytetrack,225.0,1.482178,1.050527,0.842386,0.134907,0.986971,2246.0,1.0,1.0,2.0,4.0,1943.0,0.0,176.0,0.133126,0.213971,0.4,9.4,1.1,0.9,2655.0
30,320,2,1,yolov8s-pt,ocsort,450.0,1.524232,1.090813,0.917186,0.194791,0.95733,4492.0,1.0,1.0,2.0,39.0,3617.0,3.0,492.0,0.185441,0.17227,0.4,9.7,1.1,1.4,5670.0
31,480,4,1,yolov8m-pt,bytetrack,225.0,1.591507,1.173459,1.051202,0.298753,0.930652,2246.0,1.0,1.0,2.0,50.0,1575.0,0.0,309.0,0.276492,0.23387,0.5,13.0,1.1,1.2,3554.9999999999995
32,640,4,1,yolov8m-pt,strongsort,225.0,1.630916,1.397313,1.296527,0.532057,0.901887,2246.0,1.0,2.0,1.0,130.0,1051.0,2.0,309.0,0.473286,0.18604,0.9,31.8,1.3,29.6,14310.0
33,320,4,1,yolov8s-pt,strongsort,225.0,1.528232,1.087209,0.91585,0.191006,0.961883,2246.0,1.0,1.0,2.0,17.0,1817.0,2.0,256.0,0.182547,0.174976,0.6,10.4,1.3,22.9,7920.000000000001
34,480,2,1,yolov8n-pt,ocsort,450.0,1.544437,1.136165,0.982636,0.248664,0.912582,4492.0,1.0,1.0,2.0,107.0,3375.0,2.0,564.0,0.224399,0.201634,0.6,9.1,1.2,1.6,5624.999999999999
35,320,3,1,yolov8n-pt,ocsort,300.0,1.433048,1.017632,0.809619,0.105544,0.812339,2994.0,0.0,2.0,2.0,73.0,2678.0,2.0,211.0,0.080494,0.179374,0.5,9.9,1.1,1.4,3870.0
36,320,1,1,yolov8m-pt,strongsort,900.0,1.554245,1.141238,0.997329,0.265442,0.936764,8985.0,1.0,1.0,2.0,161.0,6600.0,18.0,1171.0,0.24552,0.190262,0.6,13.6,1.3,23.6,35190.0
